timestamp,model_type,seed,dataset,z_dim,z_dim_effective,kappa_clip,kappa_temp,epoch,accept_rate_mean,attempts_mean,attempts_p90,attempts_max,kappa_obs_mean,kappa_obs_p90,kappa_obs_max,accept_est_from_attempts,accept_gap,train_epoch_seconds,train_seconds_per_batch,recon loss,KL,KL_per_dim,ELBO,LL,Delta_sigmoid,Delta_logits,Delta_sig_median,Delta_sig_p90,spread_proxy_mean,corr_delta_spread_sigmoid
2026-01-17T15:10:05,normal,0,mnist,5,5,,1.0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.2295736660000003,0.002376944206823028,128.93108878166052,10.091313975631811,2.018262795126362,-139.02240275729235,-137.02091090694356,0.019172050058841705,0.7674612998962402,0.0185091532766819,0.02879178524017334,0.20347344875335693,-0.01167370213841514
2026-01-17T15:10:07,normal,0,mnist,5,5,,1.0,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.2047345830000005,0.002350463308102346,119.23339445272069,11.18789900032578,2.237579800065156,-130.42129345304647,-128.57486554771472,0.016560137271881104,0.6440306305885315,0.01577768102288246,0.02407042123377323,0.141397625207901,-0.23192541754988055
2026-01-17T15:10:10,normal,0,mnist,5,5,,1.0,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.304773041999999,0.002457114117270788,115.6489121746865,10.848387821464781,2.1696775642929564,-126.49729999615128,-124.51684351635586,0.018048647791147232,0.7220458984375,0.017641395330429077,0.024879883974790573,0.13847464323043823,-0.3805640396182065
2026-01-17T15:10:13,normal,0,mnist,5,5,,1.0,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.177754457999999,0.0023216998486140714,113.21933692883535,11.11707502717425,2.22341500543485,-124.33641195600958,-122.26958504452068,0.018189657479524612,0.7406059503555298,0.017757903784513474,0.024686800315976143,0.13538219034671783,-0.29836492431305234
2026-01-17T15:10:16,normal,0,mnist,5,5,,1.0,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.212144875,0.0023583634061833687,111.40795359034448,11.4853111862377,2.29706223724754,-122.89326477658217,-120.75415913770154,0.016825947910547256,0.6838372349739075,0.017250478267669678,0.022754812613129616,0.1198706179857254,-0.33314091832463844
2026-01-17T15:10:19,normal,0,mnist,5,5,,1.0,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.709598875000001,0.0028886981609808115,109.96498025298878,11.845277792329242,2.369055558465848,-121.81025804531802,-119.78024695329606,0.01601266674697399,0.6434122323989868,0.015930870547890663,0.020886240527033806,0.11069634556770325,-0.3125631947149584
2026-01-17T15:10:22,normal,0,mnist,5,5,,1.0,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4617302919999986,0.002624445940298506,109.16569907801926,11.735804211561847,2.3471608423123693,-120.9015032895811,-118.63529249057649,0.01699647307395935,0.6771953105926514,0.017443258315324783,0.021502943709492683,0.11410693824291229,-0.3088872152162814
2026-01-17T15:10:25,normal,0,mnist,5,5,,1.0,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.382312749999997,0.002539779051172705,108.19814966286823,11.923767782320642,2.3847535564641285,-120.12191744518887,-117.82894411512241,0.01593748666346073,0.6747310161590576,0.016651861369609833,0.02056940272450447,0.10649307072162628,-0.41170863968594335
2026-01-17T15:10:28,normal,0,mnist,5,5,,1.0,9,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.459060375,0.0026215995469083156,107.55058084475766,11.862092273250507,2.3724184546501013,-119.41267311800817,-117.14395831648712,0.01647135242819786,0.6690592765808105,0.016233382746577263,0.02161032147705555,0.1083143800497055,-0.25889368224222775
2026-01-17T15:10:31,normal,0,mnist,5,5,,1.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.263454792000001,0.0024130648102345426,107.39565534652418,11.7165334361374,2.34330668722748,-119.11218878266159,-116.74071454090678,0.016996387392282486,0.7153716087341309,0.016486600041389465,0.02204955741763115,0.10831969976425171,-0.30804080529288297
2026-01-17T15:10:34,normal,0,mnist,5,5,,1.0,11,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.520162417000005,0.0026867403166311358,106.68718267550135,11.933796882629395,2.386759376525879,-118.62097955813074,-116.34169482577379,0.01653888076543808,0.7095451354980469,0.017064034938812256,0.02163117192685604,0.10395818203687668,-0.4635914041972595
2026-01-17T15:10:36,normal,0,mnist,5,5,,1.0,12,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.2296590830000014,0.002377035269722816,106.13165487301578,11.986162926740707,2.3972325853481413,-118.11781779975648,-115.8754609223384,0.016456369310617447,0.6958102583885193,0.01697562262415886,0.02144412323832512,0.10263995826244354,-0.416979220568999
2026-01-17T15:10:39,normal,0,mnist,5,5,,1.0,13,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.278829542000004,0.0024294558017057613,106.15237149767056,11.96751163871425,2.39350232774285,-118.1198831363848,-115.66230390026311,0.01676309108734131,0.7415392398834229,0.01663948968052864,0.02187081053853035,0.10204383730888367,-0.5300524004643186
2026-01-17T15:10:42,normal,0,mnist,5,5,,1.0,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.268153875000003,0.0024180744936034147,105.46740970490085,12.191718016460444,2.438343603292089,-117.65912772136129,-115.28443349850406,0.015937454998493195,0.7246915698051453,0.016465358436107635,0.019475899636745453,0.09864139556884766,-0.5938459766204024
